id	filename	md5	size	state
97cffc85-c493-427f-8bf3-4c5a44b06911	8efe33ca-1219-4c96-9357-642a9ce194d0_noid_Grn.idat	5a7296a0f5d844779fc3aaea76bb368b	8095300	released
272a5b09-0c82-40fc-bdcc-6e784d61083e	ENDUE_p_TCGA_271_76_79_280_81_N_GenomeWideSNP_6_G01_1346896.nocnv_grch38.seg.v2.txt	455db3e7ae85f02c8e04cb4337430d25	3470	released
be686f0c-9c35-4804-85c1-74a3cf761816	6fc19f55-118e-48f3-b13b-c056116a42cd.rna_seq.chimeric.gdc_realn.bam	b7fe0f2df367c51ba8f3909c8f64a800	60097014	released
31ec03a3-0fbb-4dcd-976c-c9ef55cab37a	TCGA_BLCA.4796cc57-703f-42a2-be50-6722535df167.wxs.VarScan2.somatic_annotation.vcf.gz	4e7204b76d5c1ed338ec6977f5ceb291	420314	released
197fc055-31f1-4418-92e5-b69e067a7547	TCGA-BLCA.ee5d77c4-e3ff-41eb-9fa3-d9d11ed509af.arriba.rna_fusion.tsv	0ca18dfede31fd2500c81a3c6c384dc0	6978	released
c2e9be7c-a58d-4b57-9fb5-eadd4d7c7721	TCGA_BLCA.75820efc-eba7-4542-903c-67842339c483.wxs.MuSE.somatic_annotation.vcf.gz	841f53ccf46366e773b78195cccc0bee	166331	released
a9e1737b-30c8-4c43-92a5-20d6509c9243	TCGA-BLCA.d88795c8-f190-4d49-b5de-669e148ad9be.star_fusion.rna_fusion.tsv	b1afeba0fb7f76577dd6942a72137537	234	released
e8845b7f-16b3-4344-9e18-99f9c6622caf	TCGA_BLCA.9f193dd6-06c6-4227-bed2-8452926b6d1a.wxs.VarScan2.somatic_annotation.vcf.gz	e20a7ed75855cd9d2a51893a401b20b1	550994	released
3b6120af-2823-4fd5-99a8-c0d0b4e9627a	TCGA-BLCA.a6c6ec53-7362-4760-99ed-d525864d31da.star_fusion.rna_fusion.tsv	ce68e10a20692eb6f0314c93c329508c	55951	released
c6b3ab8c-d879-4c92-bc00-49be518f8e39	c0ffc1de-48ff-406c-968c-1242d00a0bcc.mirbase21.mirnas.quantification.txt	5edbbb3c1837654478bd7f433e4846be	50210	released
8319d61e-dd4b-487c-afb6-6f81d86657d3	021a15f5-5f9f-4db3-ad2a-5cf44290341c.wxs.Pindel.aliquot.maf.gz	18cd83269de4d34e716e67edc6aee92a	28040	released
18836b32-256e-4c69-b3e4-7daa56ffa960	RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_A01_1231086.CEL	11ffb4221a04496cf681be600c9d513a	69082633	released
9cdd4e56-5a4f-42dd-93d1-660257a1a3a9	TCGA-BLCA.007a3b5e-75ba-4990-8d49-5ff398939eb0.ascat2.allelic_specific.seg.txt	bc2b7f510302d579a9fb4f6d639382c0	16385	released
5c7ef977-4fb3-44b9-ad2b-9cf7e71d996d	TCGA-BLCA.38e8ed4e-a085-4a5d-9748-70c798dffed6.ascat2.allelic_specific.seg.txt	4b1c05fb89a258023a04f59a738c2a47	27005	released
a0b8abaa-81da-4569-bedd-d04a36de61bd	5912eb9b-f838-4e63-94c5-2324f46cc9b4.wxs.muse.raw_somatic_mutation.vcf.gz	2581cf5140948796c74562f90c8fe99c	47925	released
635320d4-d031-46ce-a414-92ae450f348f	TCGA_BLCA.46be5179-3f1b-4f14-8a0a-f8c0fe6e0b49.wxs.VarScan2.somatic_annotation.vcf.gz	796ce6046f32c44b7a5b155ddefcfa79	730911	released
e82c4583-c99f-4c80-a5cb-a0f93cd18763	0c9779cc-4c73-4f3b-b8a1-624b23c38735.rna_seq.transcriptome.gdc_realn.bam	71b031162fa078cc86200fc833405cb9	17792029452	released
17cb0aff-dd22-4327-b034-e095f23f02ef	BASIC_p_TCGASNP_219_221_223_N_GenomeWideSNP_6_D08_1148728.nocnv_grch38.seg.v2.txt	05deab1f7625b97618a8c8c925b26800	3188	released
49bfb3d0-f5eb-439a-b0f4-3381efd0fa44	BASIC_p_TCGASNP_219_221_223_N_GenomeWideSNP_6_D08_1148728.birdseed.data.txt	a115842827a740a82976ed9f33540fd2	20851972	released
8ddb68e4-aacb-4583-9c9c-7dc0059d923d	bcbcff19-23cb-40dd-be34-21d485949d57.wxs.VarScan2.aliquot.maf.gz	7a988703a99a883eeed0dce6d528b805	263054	released
0f972cc1-3a8c-4c18-9234-2567fe43bc14	934a9544-1fd3-4aac-9e5c-90a266d1f125.rna_seq.star_splice_junctions.tsv.gz	68ce38178e0a52aca2f2e498f7b1a49c	2198609	released
4beaecff-c266-41a3-981a-27d9b049196b	934a9544-1fd3-4aac-9e5c-90a266d1f125.rna_seq.augmented_star_gene_counts.tsv	c62dca927c7970c1974894a9da69d84a	4232236	released
c6514474-b8ae-44e9-96bc-a8b065dd29be	3860720d-88b6-4938-a760-1ecbd318cedb.rna_seq.augmented_star_gene_counts.tsv	28ee7bb1ed518f374f3750d1562f1ddc	4229865	released
5ce14d21-c198-4bd5-90a1-1535e648eccd	STING_p_TCGAb_356_357_NSP_GenomeWideSNP_6_A02_1388346.CEL	7aae38983ecf5aa7f7a385e4bafdf952	69132377	released
49020baf-63d9-40e2-9c58-d25a3938826c	STING_p_TCGAb_356_357_NSP_GenomeWideSNP_6_A03_1388240.nocnv_grch38.seg.v2.txt	db877a3277c298bbea3db6fc04a0b0a0	4889	released
1f7dbdeb-b8c2-433a-99d1-5031a886aa1f	5aa6633e-6c61-4a73-8ebb-04d4e3982161_noid_Grn.idat	fbca08b9237be9f8f24c71902d436526	8095304	released
4a532038-4306-44f8-85b9-862d07632e05	TCGA-DK-AA6L-01A-11R-A39B-13_mirna_gdc_realn.bam	7768044e9da926f850e511c33f056bde	236299142	released
24d767a6-2f79-4847-8eb3-f37b8676c024	TCGA-BLCA.8cf95368-a9e6-4ff6-a0dc-9df00aa7e4ad.arriba.rna_fusion.tsv	eadbc60652478477b9c57b6692a78d9e	5012	released
